,Date,Price
0,1951.46,06 Nov 2020
1,1945.66,05 Nov 2020
2,1904.93,04 Nov 2020
3,1914.31,03 Nov 2020
4,1894.86,02 Nov 2020
5,1878.9,30 Oct 2020
6,1868.63,29 Oct 2020
7,1879.62,28 Oct 2020
8,1905.3,27 Oct 2020
9,1902.33,26 Oct 2020
10,1901.73,23 Oct 2020
11,1905.1,22 Oct 2020
12,1921.49,21 Oct 2020
13,1910.89,20 Oct 2020
14,1903.14,19 Oct 2020
15,1899.04,16 Oct 2020
16,1906.46,15 Oct 2020
17,1898.35,14 Oct 2020
18,1893.56,13 Oct 2020
19,1924.9,12 Oct 2020
20,1930.33,09 Oct 2020
21,1895.3,08 Oct 2020
22,1887.07,07 Oct 2020
23,1880.15,06 Oct 2020
24,1912.4,05 Oct 2020
25,1899.66,02 Oct 2020
26,1903.73,01 Oct 2020
27,1887.78,30 Sep 2020
28,1896.8,29 Sep 2020
29,1882.46,28 Sep 2020
30,1861.33,25 Sep 2020
31,1867.99,24 Sep 2020
32,1855.03,23 Sep 2020
33,1904.4,22 Sep 2020
34,1917.23,21 Sep 2020
35,1950.39,18 Sep 2020
36,1947.17,17 Sep 2020
37,1959.86,16 Sep 2020
38,1953.92,15 Sep 2020
39,1957.4,14 Sep 2020
40,1940.43,11 Sep 2020
41,1943.98,10 Sep 2020
42,1947.44,09 Sep 2020
43,1930.53,08 Sep 2020
44,1930.84,07 Sep 2020
45,1933.52,04 Sep 2020
46,1927.43,03 Sep 2020
47,1944.84,02 Sep 2020
48,1972.58,01 Sep 2020
49,1967.8,31 Aug 2020
50,1964.77,28 Aug 2020
51,1928.18,27 Aug 2020
52,1953.67,26 Aug 2020
53,1929.8,25 Aug 2020
54,1930.15,24 Aug 2020
55,1940.9,21 Aug 2020
56,1952.5,20 Aug 2020
57,1927.55,19 Aug 2020
58,2005.4,18 Aug 2020
59,1983.73,17 Aug 2020
60,1944.27,14 Aug 2020
61,1957.49,13 Aug 2020
62,1922.09,12 Aug 2020
63,1909.3,11 Aug 2020
64,2028.38,10 Aug 2020
65,2035.21,07 Aug 2020
66,2069.29,06 Aug 2020
67,2036.82,05 Aug 2020
68,2031.0,04 Aug 2020
69,1975.6,03 Aug 2020
70,1975.69,31 Jul 2020
71,1957.07,30 Jul 2020
72,1966.5,29 Jul 2020
73,1956.07,28 Jul 2020
74,1965.5,27 Jul 2020
75,1901.6,24 Jul 2020
76,1885.69,23 Jul 2020
77,1870.2,22 Jul 2020
78,1843.03,21 Jul 2020
79,1818.26,20 Jul 2020
80,1810.01,17 Jul 2020
81,1798.45,16 Jul 2020
82,1813.16,15 Jul 2020
83,1809.6,14 Jul 2020
84,1802.6,13 Jul 2020
85,1799.21,10 Jul 2020
86,1804.1,09 Jul 2020
87,1809.16,08 Jul 2020
88,1794.54,07 Jul 2020
89,1785.9,06 Jul 2020
90,1775.3,03 Jul 2020
91,1775.78,02 Jul 2020
92,1768.44,01 Jul 2020
93,1783.4,30 Jun 2020
94,1773.09,29 Jun 2020
95,1771.23,26 Jun 2020
96,1765.88,25 Jun 2020
97,1762.22,24 Jun 2020
98,1769.07,23 Jun 2020
99,1755.52,22 Jun 2020
100,1743.48,19 Jun 2020
101,1723.57,18 Jun 2020
102,1727.82,17 Jun 2020
103,1726.65,16 Jun 2020
104,1723.9,15 Jun 2020
105,1730.26,12 Jun 2020
106,1726.77,11 Jun 2020
107,1735.64,10 Jun 2020
108,1712.6,09 Jun 2020
109,1697.5,08 Jun 2020
110,1683.86,05 Jun 2020
111,1712.2,04 Jun 2020
112,1700.71,03 Jun 2020
113,1726.96,02 Jun 2020
114,1741.9,01 Jun 2020
115,1729.92,29 May 2020
116,1722.06,28 May 2020
117,1711.01,27 May 2020
118,1712.87,26 May 2020
119,1727.02,25 May 2020
120,1736.22,22 May 2020
121,1726.34,21 May 2020
122,1747.4,20 May 2020
123,1746.2,19 May 2020
124,1735.05,18 May 2020
125,1742.33,15 May 2020
126,1732.87,14 May 2020
127,1718.81,13 May 2020
128,1702.65,12 May 2020
129,1698.01,11 May 2020
130,1702.22,08 May 2020
131,1714.5,07 May 2020
132,1690.12,06 May 2020
133,1704.05,05 May 2020
134,1703.9,04 May 2020
135,1700.4,01 May 2020
136,1688.23,30 Apr 2020
137,1714.2,29 Apr 2020
138,1704.5,28 Apr 2020
139,1709.65,27 Apr 2020
140,1729.05,24 Apr 2020
141,1728.67,23 Apr 2020
142,1711.74,22 Apr 2020
143,1687.85,21 Apr 2020
144,1691.11,20 Apr 2020
145,1684.75,17 Apr 2020
146,1715.5,16 Apr 2020
147,1716.0,15 Apr 2020
148,1726.4,14 Apr 2020
149,1717.72,13 Apr 2020
150,1688.78,10 Apr 2020
151,1683.8,09 Apr 2020
152,1647.59,08 Apr 2020
153,1648.53,07 Apr 2020
154,1663.51,06 Apr 2020
155,1618.13,03 Apr 2020
156,1613.16,02 Apr 2020
157,1592.12,01 Apr 2020
158,1578.93,31 Mar 2020
159,1616.7,30 Mar 2020
160,1627.56,27 Mar 2020
161,1626.32,26 Mar 2020
162,1611.15,25 Mar 2020
163,1634.4,24 Mar 2020
164,1567.03,23 Mar 2020
165,1498.39,20 Mar 2020
166,1471.47,19 Mar 2020
167,1498.75,18 Mar 2020
168,1537.79,17 Mar 2020
169,1507.2,16 Mar 2020
170,1529.29,13 Mar 2020
171,1576.95,12 Mar 2020
172,1643.42,11 Mar 2020
173,1652.5,10 Mar 2020
174,1666.61,09 Mar 2020
175,1674.52,06 Mar 2020
176,1674.67,05 Mar 2020
177,1636.48,04 Mar 2020
178,1645.88,03 Mar 2020
179,1592.23,02 Mar 2020
180,1586.46,28 Feb 2020
181,1645.57,27 Feb 2020
182,1643.74,26 Feb 2020
183,1640.23,25 Feb 2020
184,1653.8,24 Feb 2020
185,1643.62,21 Feb 2020
186,1622.3,20 Feb 2020
187,1610.51,19 Feb 2020
188,1600.97,18 Feb 2020
189,1584.23,17 Feb 2020
190,1583.89,14 Feb 2020
191,1577.48,13 Feb 2020
192,1570.28,12 Feb 2020
193,1567.2,11 Feb 2020
194,1572.06,10 Feb 2020
195,1570.41,07 Feb 2020
196,1565.89,06 Feb 2020
197,1556.1,05 Feb 2020
198,1554.04,04 Feb 2020
199,1578.96,03 Feb 2020
200,1589.4,31 Jan 2020
201,1575.21,30 Jan 2020
202,1577.2,29 Jan 2020
203,1568.59,28 Jan 2020
204,1581.17,27 Jan 2020
205,1571.56,24 Jan 2020
206,1561.04,23 Jan 2020
207,1561.45,22 Jan 2020
208,1556.56,21 Jan 2020
209,1561.31,20 Jan 2020
210,1557.3,17 Jan 2020
211,1552.27,16 Jan 2020
212,1556.35,15 Jan 2020
213,1549.6,14 Jan 2020
214,1545.44,13 Jan 2020
215,1562.05,10 Jan 2020
216,1552.72,09 Jan 2020
217,1557.89,08 Jan 2020
218,1595.24,07 Jan 2020
219,1563.83,06 Jan 2020
220,1552.24,03 Jan 2020
221,1528.95,02 Jan 2020
